"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2017-04-19",7.02,20.85,17.6329,211.74,53.14
"2017-04-20",7.02,20.75,17.6124,213.48,52.95
"2017-04-21",7.04,20.99,17.6209,212.91,53.51
"2017-04-24",7.06,20.84,17.6188,214.97,53.28
"2017-04-25",7.1,20.91,17.6095,217.96,53.72
"2017-04-26",7.11,20.92,17.6256,216.73,54.26
"2017-04-27",7.12,21.04,17.6451,217.72,53.91
"2017-04-28",7.12,20.94,17.659,217.4,53.75
"2017-05-02",7.13,21.19,17.6676,218.92,54.19
"2017-05-03",7.13,21.17,17.6947,218.12,54.2
"2017-05-04",7.11,21.08,17.6927,218.72,53.84
"2017-05-05",7.11,21.13,17.6865,216.53,54.1
"2017-05-08",7.12,21.43,17.6953,218.61,54.97
"2017-05-09",7.13,21.64,17.6759,218.09,54.38
"2017-05-10",7.13,21.89,17.699,218.79,54.47
"2017-05-11",7.12,21.87,17.6884,219.9,53.94
"2017-05-12",7.12,21.82,17.6923,218.62,53.71
"2017-05-15",7.13,21.88,17.6947,220.71,53.78
"2017-05-16",7.14,21.8,17.6744,221.87,53.56
"2017-05-17",7.13,21.6,17.6782,221.68,53.54
"2017-05-18",7.06,21.35,17.698,215.5,53.99
"2017-05-19",7.1,21.44,17.6845,214.48,53.63
"2017-05-22",7.13,21.49,17.6801,212.38,53.99
"2017-05-23",7.14,21.55,17.6856,208.52,53.87
"2017-05-24",7.14,21.76,17.6904,205.83,54.17
"2017-05-25",NA,NA,17.6904,NA,NA
"2017-05-26",7.17,22.12,17.7321,214.36,54.44
"2017-05-29",NA,22.09,17.7364,210.34,54.16
"2017-05-30",7.17,22.07,17.7449,210.8,54.4
"2017-05-31",7.16,21.94,17.7532,212.25,54.25
"2017-06-01",7.17,22.08,17.7471,213.15,54.86
"2017-06-02",7.2,22.11,17.7566,214.08,55.79
"2017-06-06",7.21,22.25,17.7796,214.6,55.95
"2017-06-07",7.21,22.3,17.7874,215.58,56.24
"2017-06-08",7.21,22.36,17.761,215.63,55.68
"2017-06-09",7.22,22.52,17.7703,216.36,55.5
"2017-06-12",7.18,21.42,17.7652,214.78,55.88
"2017-06-13",7.19,21.84,17.7618,214.97,55.85
"2017-06-14",7.22,21.89,17.7976,215.95,55.78
"2017-06-15",7.18,21.71,17.821,214.35,55.76
"2017-06-16",7.17,21.86,17.7974,215,55.39
"2017-06-19",7.18,22.06,17.8194,215.1,55.89
"2017-06-20",7.2,22.2,17.8446,215.67,56.12
"2017-06-21",7.18,22.12,17.8618,215.36,55.85
"2017-06-22",7.18,22.22,17.8574,214.83,55.88
"2017-06-23",NA,NA,17.8574,NA,NA
"2017-06-26",7.21,22.39,17.8763,212.97,55.95
"2017-06-27",7.19,21.9,17.8554,210.35,56.21
"2017-06-28",7.17,21.37,17.7884,211.53,56.02
"2017-06-29",7.19,21.39,17.7641,211.7,56.48
"2017-06-30",7.17,21.22,17.7324,211.46,56.73
"2017-07-03",7.17,21.29,17.7283,213.29,56.69
"2017-07-04",NA,21.01,17.7294,213.77,56.23
"2017-07-05",7.16,21.15,17.7294,214.7,56.38
"2017-07-06",7.16,20.99,17.7203,214.94,56.41
"2017-07-07",7.14,21.26,17.6733,214.82,55.85
"2017-07-10",7.16,21.34,17.684,216.94,55.79
"2017-07-11",7.17,21.59,17.6784,216.55,56.08
"2017-07-12",7.2,21.81,17.6951,220.02,56.23
"2017-07-13",7.22,22.1,17.7531,221.86,56.15
"2017-07-14",7.23,21.91,17.7386,222.24,56.32
"2017-07-17",7.26,22.02,17.7558,221.83,56.68
"2017-07-18",7.25,21.81,17.7758,220.57,56.64
"2017-07-19",7.26,22.23,17.7987,222.72,56.35
"2017-07-20",7.28,22.24,17.808,220.96,56.45
"2017-07-21",7.27,21.99,17.8414,220.99,56.97
"2017-07-24",7.28,22.13,17.8561,221.31,57.34
"2017-07-25",7.29,22.04,17.8434,221.53,56.9
"2017-07-26",7.3,22.27,17.8151,221.82,56.93
"2017-07-27",7.3,22.32,17.8445,221.65,57.27
"2017-07-28",7.27,21.83,17.8224,222.36,57.12
"2017-07-31",7.28,21.83,17.8426,222.6,57.84
